ITEM: TIMESTEP
26200
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 145.497 
2 -95.7995 
3 18.7196 
4 -103.863 
5 138.127 
6 17.5579 
7 -99.4235 
8 140.007 
9 18.5865 
10 20.0987 
11 -100.47 
12 138.109 
13 -160.538 
14 78.729 
15 -38.2764 
16 -24.4349 
17 -130.471 
18 91.3691 
19 -14.667 
20 -151.774 
21 102.19 
22 18.3862 
23 128.799 
24 22.5823 
25 -98.8611 
26 139.468 
27 95.3863 
28 -27.6333 
29 -147.622 
30 109.346 
31 103.581 
32 -17.1039 
33 -131.51 
34 -140.061 
35 99.2536 
36 -15.153 
37 -15.5618 
38 -136.247 
39 -175.272 
40 72.1499 
41 -53.1394 
42 -159.503 
43 75.2073 
44 -46.9254 
45 -49.3502 
46 -174.64 
47 63.2278 
48 174.539 
49 -67.8049 
50 51.606 
51 -110.508 
52 126.452 
53 10.253 
54 -163.296 
55 -41.1028 
56 77.7198 
57 -149.686 
58 93.4649 
59 -28.4709 
60 -150.249 
61 87.8151 
62 -33.4004 
63 -26.8643 
64 -148.8 
65 89.9844 
66 175.746 
67 -72.2336 
68 47.7205 
69 165.875 
70 47.943 
71 -74.671 
72 148.509 
73 -93.5515 
74 27.9803 
75 -172.668 
76 70.6871 
77 -45.4014 
78 -169.224 
79 74.6871 
80 -52.579 
81 -53.5793 
82 -169.668 
83 63.066 
84 179.977 
85 61.9914 
86 -55.9113 
87 72.4206 
88 -48.4922 
89 -166.895 
90 143.199 
91 27.9714 
92 -97.2025 
93 148.78 
94 23.6059 
95 -95.9922 
96 -86.2596 
97 148.566 
98 28.9683 
99 -162.544 
100 -44.7819 
101 72.9283 
102 -114.967 
103 119.503 
104 -0.0126378 
105 113.217 
106 -122.908 
107 -3.31965 
108 70.7706 
109 -48.0923 
110 -168.488 
111 76.5763 
112 -43.8195 
113 -164.561 
114 -160.07 
115 79.5339 
116 -41.2073 
ITEM: TIMESTEP
26300
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 120.949 
2 -113.083 
3 1.09202 
4 -105.549 
5 131.568 
6 20.386 
7 -103.007 
8 145.811 
9 19.8756 
10 15.0618 
11 -96.1199 
12 137.945 
13 -171.757 
14 64.417 
15 -49.2824 
16 -15.4637 
17 -129.018 
18 109.232 
19 -4.32219 
20 -131.862 
21 114.583 
22 0.566145 
23 124.529 
24 35.4428 
25 -87.8248 
26 156.633 
27 100.414 
28 -22.9065 
29 -139.358 
30 102.935 
31 111.128 
32 -14.2321 
33 -132.742 
34 -138.478 
35 96.162 
36 -22.348 
37 -13.1949 
38 -138.555 
39 167.882 
40 47.8545 
41 -64.2992 
42 169.744 
43 57.5904 
44 -70.2289 
45 -65.8843 
46 -178.038 
47 54.1427 
48 152.193 
49 -88.0761 
50 25.5883 
51 -96.6141 
52 144.203 
53 30.1994 
54 -171.409 
55 -55.1732 
56 65.5988 
57 -157.238 
58 80.2938 
59 -37.0597 
60 -165.156 
61 77.4905 
62 -42.688 
63 -44.3462 
64 -161.7 
65 78.1217 
66 -166.025 
67 -47.5225 
68 68.4786 
69 165.325 
70 51.204 
71 -70.4168 
72 178.131 
73 -55.6209 
74 58.0612 
75 -169.039 
76 63.2308 
77 -52.8331 
78 -179 
79 64.936 
80 -51.2699 
81 -52.7706 
82 -168.834 
83 74.9597 
84 159.909 
85 37.195 
86 -82.1406 
87 85.0178 
88 -35.8817 
89 -150.706 
90 138.592 
91 19.3956 
92 -101.925 
93 141.261 
94 19.9405 
95 -99.5427 
96 -107.951 
97 130.729 
98 11.2454 
99 177.977 
100 -60.6604 
101 58.0106 
102 -134.798 
103 104.758 
104 -8.38555 
105 46.2124 
106 165.871 
107 -74.3551 
108 43.5088 
109 -76.2345 
110 164.863 
111 44.4252 
112 -74.4776 
113 164.168 
114 155.159 
115 36.2566 
116 -85.0974 
ITEM: TIMESTEP
26400
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1034440479022237e+01 2.1034440479022237e+01
-1.1245775088204779e+01 1.1245775088204779e+01
-1.1245775088204779e+01 1.1245775088204779e+01
ITEM: ENTRIES index c_dphi
1 141.472 
2 -99.0506 
3 18.5143 
4 -107.836 
5 137.64 
6 17.8722 
7 -98.3606 
8 141.871 
9 16.1629 
10 16.6196 
11 -103.148 
12 131.143 
13 -158.486 
14 76.3429 
15 -40.0309 
16 -16.5092 
17 -131.258 
18 106.22 
19 -8.52878 
20 -137.625 
21 107.626 
22 14.912 
23 124.121 
24 -39.691 
25 -163.188 
26 73.9266 
