# Time-averaged data for fix myat2
# TimeStep v_nC
0 10
100 10
200 10
300 10
400 10
500 10
600 10
700 10
800 10
900 10
1000 10
1100 10
1200 10
1300 10
1400 10
1500 10
1600 10
1700 10
1800 10
1900 10
2000 10
2100 10
2200 10
2300 10
2400 10
2500 10
2600 10
2700 10
2800 10
2900 10
3000 10
3100 10
3200 10
3300 10
3400 10
3500 10
3600 10
3700 10
3800 10
3900 10
4000 10
4100 10
4200 10
4300 10
4400 10
4500 10
4600 10
4700 10
4800 10
4900 10
5000 10
5100 10
5200 10
5300 10
5400 10
5500 10
5600 10
5700 10
5800 12
5900 16
6000 16
6100 16
6200 16
6300 16
6400 16
6500 16
6600 16
6700 16
6800 16
6900 18
7000 18
7100 18
7200 18
7300 18
7400 18
7500 18
7600 18
7700 18
7800 18
7900 20
8000 20
8100 20
8200 20
8300 20
8400 20
8500 20
8600 20
8700 20
8800 20
8900 22
9000 22
9100 22
9200 22
9300 22
9400 22
9500 22
9600 22
9700 22
9800 22
9900 22
10000 22
10100 22
10200 22
10300 22
10400 22
10500 22
10600 24
10700 24
10800 26
10900 26
11000 26
11100 26
11200 26
11300 26
11400 26
11500 26
11600 26
11700 26
11800 26
11900 26
12000 28
12100 28
12200 28
12300 28
12400 28
12500 28
12600 28
12700 28
12800 28
12900 28
13000 28
13100 28
13200 28
13300 28
13400 28
13500 28
13600 28
13700 28
13800 28
13900 30
14000 30
14100 30
14200 30
14300 30
14400 30
14500 30
14600 30
14700 30
14800 30
14900 30
15000 30
15100 30
15200 30
15300 30
15400 30
15500 30
15600 30
15700 30
15800 30
15900 30
16000 30
16100 30
16200 30
16300 30
16400 30
16500 30
16600 30
16700 30
16800 30
16900 30
17000 30
17100 30
17200 30
17300 30
17400 30
17500 30
17600 30
17700 30
17800 30
17900 30
18000 30
18100 30
18200 30
18300 30
18400 30
18500 30
18600 30
18700 30
18800 30
18900 30
19000 30
19100 30
19200 30
19300 30
19400 30
19500 30
19600 32
19700 32
19800 32
19900 32
20000 32
20100 32
20200 32
20300 32
20400 32
20500 32
20600 32
20700 32
20800 32
20900 32
21000 32
21100 32
21200 32
21300 32
21400 32
21500 32
21600 32
21700 32
21800 32
21900 32
22000 32
22100 32
22200 32
22300 32
22400 32
22500 32
22600 32
22700 32
22800 32
22900 34
23000 36
23100 36
23200 36
23300 36
23400 36
23500 36
23600 36
23700 36
23800 36
23900 36
24000 36
24100 36
24200 36
24300 36
24400 36
24500 36
24600 36
24700 36
24800 36
24900 36
25000 36
25100 36
25200 36
25300 36
25400 36
25500 36
25600 36
25700 36
25800 36
25900 36
26000 36
26100 36
26200 36
26300 36
26400 36
26500 36
26600 36
26700 36
26800 36
26900 36
27000 36
27100 36
27200 36
27300 36
27400 36
27500 36
27600 36
27700 36
27800 36
27900 36
28000 36
28100 36
28200 36
28300 36
28400 36
28500 36
28600 36
28700 36
28800 36
28900 36
29000 36
29100 36
29200 36
29300 36
29400 36
29500 36
29600 36
29700 36
29800 36
29900 36
30000 36
30100 36
30200 36
30300 36
30400 36
30500 36
30600 36
30700 36
30800 36
30900 36
31000 36
31100 36
31200 36
31300 36
31400 36
31500 36
31600 36
31700 36
31800 36
31900 36
32000 36
32100 36
32200 36
32300 36
32400 36
32500 36
32600 36
32700 36
32800 36
32900 36
33000 36
33100 36
33200 36
33300 36
33400 36
33500 36
33600 36
33700 36
33800 36
33900 36
34000 36
34100 36
34200 36
34300 36
34400 36
34500 36
34600 36
34700 36
34800 36
34900 36
35000 36
