# Time-averaged data for fix myat1
# TimeStep v_nO
0 4
100 4
200 4
300 4
400 4
500 4
600 4
700 4
800 4
900 4
1000 4
1100 4
1200 4
1300 4
1400 4
1500 4
1600 4
1700 4
1800 4
1900 4
2000 4
2100 4
2200 4
2300 4
2400 4
2500 4
2600 4
2700 4
2800 4
2900 4
3000 4
3100 4
3200 4
3300 4
3400 4
3500 4
3600 4
3700 4
3800 4
3900 4
4000 4
4100 4
4200 4
4300 4
4400 4
4500 4
4600 4
4700 4
4800 4
4900 4
5000 4
5100 4
5200 6
5300 6
5400 6
5500 8
5600 8
5700 8
5800 8
5900 8
6000 8
6100 8
6200 8
6300 8
6400 8
6500 8
6600 8
6700 8
6800 8
6900 8
7000 8
7100 8
7200 8
7300 8
7400 8
7500 8
7600 8
7700 8
7800 8
7900 8
8000 8
8100 8
8200 8
8300 8
8400 9
8500 9
8600 9
8700 9
8800 9
8900 9
9000 9
9100 9
9200 9
9300 9
9400 9
9500 9
9600 9
9700 9
9800 9
9900 9
10000 9
10100 9
10200 9
10300 9
10400 9
10500 9
10600 9
10700 9
10800 9
10900 9
11000 9
11100 9
11200 9
11300 9
11400 9
11500 9
11600 9
11700 9
11800 9
11900 9
12000 9
12100 9
12200 9
12300 9
12400 9
12500 9
12600 9
12700 9
12800 9
12900 9
13000 9
13100 9
13200 9
13300 9
13400 9
13500 9
13600 9
13700 9
13800 9
13900 9
14000 9
14100 9
14200 9
14300 9
14400 9
14500 9
14600 9
14700 9
14800 9
14900 9
15000 9
15100 9
15200 9
15300 9
15400 9
15500 9
15600 9
15700 9
15800 9
15900 9
16000 9
16100 9
16200 9
16300 9
16400 9
16500 9
16600 9
16700 9
16800 9
16900 9
17000 9
17100 9
17200 9
17300 9
17400 9
17500 9
17600 9
17700 9
17800 9
17900 9
18000 9
18100 9
18200 9
18300 9
18400 10
18500 10
18600 10
18700 10
18800 10
18900 10
19000 10
19100 10
19200 10
19300 10
19400 10
19500 10
19600 10
19700 10
19800 10
19900 10
20000 10
20100 11
20200 11
20300 11
20400 11
20500 11
20600 11
20700 11
20800 11
20900 11
21000 11
21100 11
21200 11
21300 11
21400 11
21500 11
21600 11
21700 11
21800 11
21900 11
22000 11
22100 11
22200 11
22300 11
22400 11
22500 11
22600 11
22700 11
22800 11
22900 11
23000 11
23100 11
23200 11
23300 11
23400 11
23500 11
23600 11
23700 11
23800 11
23900 11
24000 11
24100 11
24200 11
24300 11
24400 11
24500 11
24600 11
24700 11
24800 11
24900 11
25000 11
25100 11
25200 11
25300 11
25400 11
25500 11
25600 11
25700 11
25800 11
25900 11
26000 11
26100 11
26200 11
26300 11
26400 11
26500 11
26600 11
26700 11
26800 11
26900 11
27000 11
27100 11
27200 11
27300 11
27400 11
27500 11
27600 11
27700 11
27800 11
27900 11
28000 11
28100 11
28200 11
28300 11
28400 11
28500 11
28600 11
28700 11
28800 11
28900 11
29000 11
29100 11
29200 11
29300 11
29400 11
29500 11
29600 11
29700 11
29800 11
29900 11
30000 11
30100 11
30200 11
30300 11
30400 11
30500 11
30600 11
30700 11
30800 11
30900 11
31000 11
31100 11
31200 11
31300 11
31400 11
31500 11
31600 11
31700 11
31800 11
31900 11
32000 11
32100 11
32200 11
32300 11
32400 11
32500 11
32600 11
32700 11
32800 11
32900 11
33000 11
33100 11
33200 11
33300 11
33400 11
33500 11
33600 11
33700 11
33800 11
33900 11
34000 11
34100 11
34200 11
34300 11
34400 11
34500 11
34600 11
34700 11
34800 11
34900 11
35000 11
